YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
2009,1,445,7689.502245554702,17.27978032708922,10-15,0.2688821752265861,SH
2009,2,524,10906.785737691334,20.814476598647584,15-20,0.3166163141993958,SH
2009,3,495,10556.123332627178,21.325501682075107,20-90.0001,0.2990936555891239,SH
2010,0,121,2511.4357211356178,20.755667116823286,0-10,0.07776349614395887,SH
2010,1,553,11398.095961338373,20.61138510187771,10-15,0.35539845758354754,SH
2010,2,452,10193.175156397521,22.55127246990602,15-20,0.29048843187660667,SH
2010,3,430,8509.5366681036,19.789620158380465,20-90.0001,0.2763496143958869,SH
2011,0,19,323.9544938666003,17.050236519294753,0-10,0.012140575079872205,SH
2011,1,450,8935.583348042563,19.85685188453903,10-15,0.28753993610223644,SH
2011,2,523,11524.337381710619,22.03506191531667,15-20,0.334185303514377,SH
2011,3,573,12264.648763276537,21.404273583379645,20-90.0001,0.3661341853035144,SH
2012,0,160,2704.9719470510804,16.906074669069252,0-10,0.09142857142857143,SH
2012,1,383,7017.829744001981,18.323315258490812,10-15,0.21885714285714286,SH
2012,2,549,11711.002037581013,21.331515551149387,15-20,0.3137142857142857,SH
2012,3,658,14017.750091481772,21.303571567601477,20-90.0001,0.376,SH
2013,0,127,2375.1049120182474,18.70161348045864,0-10,0.07725060827250609,SH
2013,1,623,11571.979493364548,18.57460592835401,10-15,0.3789537712895377,SH
2013,2,452,10199.606671839825,22.565501486371293,15-20,0.2749391727493917,SH
2013,3,442,9628.490782922392,21.78391579846695,20-90.0001,0.2688564476885645,SH
2014,0,130,2126.4085637611242,16.35698895200865,0-10,0.07553747821034282,SH
2014,1,479,9067.33868830052,18.929725862840336,10-15,0.27832655432887854,SH
2014,2,561,12074.865272576737,21.5238240152883,15-20,0.32597327135386406,SH
2014,3,551,10329.311894391341,18.746482566953432,20-90.0001,0.32016269610691456,SH
2015,0,104,1816.76402901975,17.468884894420675,0-10,0.06268836648583484,SH
2015,1,528,9749.81282107737,18.46555458537381,10-15,0.3182640144665461,SH
2015,2,505,9382.607619295566,18.57942102830805,15-20,0.30440024110910185,SH
2015,3,522,10067.15913377746,19.28574546700663,20-90.0001,0.31464737793851716,SH
2016,0,69,1101.859922445038,15.96898438326142,0-10,0.05887372013651877,SH
2016,1,378,6639.2311022259455,17.564103445042186,10-15,0.3225255972696246,SH
2016,2,357,7475.5884736429825,20.94002373569463,15-20,0.3046075085324232,SH
2016,3,368,7830.540402983164,21.278642399410774,20-90.0001,0.31399317406143346,SH
2017,0,178,2618.7043297132705,14.711822077040845,0-10,0.13702848344880678,SH
2017,1,341,5850.109925132897,17.155747581034888,10-15,0.26250962278675904,SH
2017,2,388,7428.898000503242,19.146644331193922,15-20,0.29869130100076985,SH
2017,3,392,7858.338358059787,20.046781525662723,20-90.0001,0.30177059276366436,SH
2018,0,217,3512.862690942558,16.188307331532524,0-10,0.10926485397784491,SH
2018,1,497,8534.805316762177,17.172646512599954,10-15,0.2502517623363545,SH
2018,2,707,14009.333985946214,19.815182441225197,15-20,0.35599194360523667,SH
2018,3,565,11551.223404447313,20.44464319371206,20-90.0001,0.28449144008056393,SH
2019,0,224,3411.4870642752535,15.229852965514524,0-10,0.11715481171548117,SH
2019,1,674,11417.707224294234,16.94021843367097,10-15,0.35251046025104604,SH
2019,2,571,11898.580047059539,20.838143690121782,15-20,0.2986401673640167,SH
2019,3,443,9487.932755049806,21.417455429006335,20-90.0001,0.23169456066945607,SH
2020,0,162,2606.3738912002104,16.08872772345809,0-10,0.09194097616345062,SH
2020,1,448,7663.217471251757,17.105396141186958,10-15,0.2542565266742338,SH
2020,2,625,12628.68607785983,20.205897724575728,15-20,0.3547105561861521,SH
