SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,IS_INTERPOLATED_TIMESTEP,ROW
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.25,0.5,0.16666667,False,2367132
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.35,0.4375,0.14583333,False,2367133
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.45,0.5625,0.1875,False,2367134
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.55,0.6875,0.22916667,False,2367135
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.65001,0.5,0.16666667,False,2367136
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.75,0.625,0.20833333,False,2367137
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.85,1.3125,0.4375,False,2367138
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.95,0.875,0.29166666,False,2367139
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.05,1.1875,0.39583334,False,2367140
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.15001,0.75,0.25,False,2367141
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.25,0.5,0.16666667,False,2367142
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.35,0.625,0.20833333,False,2367143
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.45,0.4375,0.14583333,False,2367144
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.55,0.5625,0.1875,False,2367145
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.65001,0.5625,0.1875,False,2367146
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.75,0.4375,0.14583333,False,2367147
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.85,0.4375,0.14583333,False,2367148
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,194.95,0.3125,0.104166664,False,2367149
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,195.05,0.4375,0.14583333,False,2367150
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,191.95,0.375,0.125,False,2370719
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.149998,192.05,0.3125,0.104166664,False,2370720
